idno,gender,cong,art_count
40303,F,110,67
14108,M,104,0
14108,M,102,0
14108,M,103,0
29369,M,108,2
29369,M,109,7
14921,M,102,38
14921,M,103,40
14921,M,104,101
14921,M,105,117
14921,M,106,175
14921,M,107,146
14921,M,108,66
14921,M,109,71
14921,M,110,348
14921,M,111,966
14921,M,112,770
40703,M,112,81
40703,M,110,97
40703,M,111,82
49500,M,104,44
49500,M,105,47
49500,M,106,81
49303,F,104,44
49303,F,105,81
49303,F,103,67
14467,,102,55
15702,M,104,16
15702,M,105,22
15702,M,106,44
15702,M,102,11
15702,M,103,25
13039,M,102,53
13039,M,103,42
13039,M,104,30
13039,M,105,10
13039,M,106,19
13039,M,107,105
13039,M,108,21
13039,M,109,44
40915,M,112,46
40915,M,111,138
10513,M,104,274
10513,M,102,21
10513,M,103,49
14826,M,103,13
14826,M,104,22
14826,M,105,41
14826,M,106,48
14826,M,107,41
14826,M,108,60
14826,M,109,76
14826,M,110,67
14826,M,111,286
10700,,102,0
1252,,102,22
40900,M,112,27
40900,M,111,49
14661,F,104,53
14661,F,105,67
14661,F,106,92
14661,F,107,100
14661,F,108,148
14661,F,109,137
14661,F,110,89
14661,F,111,543
14661,F,112,181
94659,M,104,41
94659,M,105,80
94659,M,106,95
94659,M,107,118
94659,M,108,70
94659,M,109,48
94659,M,110,113
94659,M,111,309
94659,M,112,72
40907,F,112,18
40907,F,111,18
15011,F,103,68
15011,F,104,84
15011,F,105,103
15011,F,106,50
15011,F,107,88
15011,F,108,90
15011,F,109,113
15011,F,110,115
15011,F,111,349
15011,F,112,118
29924,M,112,47
29924,M,111,25
29906,M,112,41
29906,M,111,39
20115,M,112,58
20115,M,111,178
14056,,102,4
11043,M,102,181
11043,M,103,72
49900,M,106,35
49900,M,107,46
49900,M,108,65
14803,M,104,57
14803,M,102,38
14803,M,103,31
15406,M,106,14
15406,M,107,16
15406,M,108,59
15406,M,109,3
15406,M,110,6
15406,M,111,4
29936,M,112,192
29936,M,109,18
29936,M,110,63
29936,M,111,270
14226,M,102,36
14226,M,103,38
14226,M,104,55
14226,M,105,47
14226,M,106,90
14226,M,107,196
14226,M,108,296
14226,M,109,274
14226,M,110,281
14226,M,111,527
14226,M,112,223
40101,M,107,16
40101,M,108,16
40101,M,109,22
15705,M,104,99
15705,M,105,167
15705,M,106,782
15705,M,102,66
15705,M,103,111
29386,M,112,218
40916,M,112,3
40916,M,111,3
29523,M,105,48
29523,M,106,58
29523,M,107,75
29523,M,108,60
29523,M,109,139
29523,M,110,255
29523,M,111,86
15015,M,107,14
15015,M,108,13
15015,M,109,24
15015,M,110,9
15015,M,111,49
15015,M,112,31
29909,M,112,25
